                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0869,                 2.5331,                 1.2563,                0.32365,                 0.2372,                0.17618,                0.09988,                 1.4043,                 2.7045,                 1.4611,             0.00033184,             0.00033184,             0.00033184
                      2,                 1.0417,                 1.7198,                 1.2161,                0.41521,                0.33486,                0.28477,                0.17125,                 1.4335,                 2.3326,                 1.4716,             0.00063225,             0.00063225,             0.00063225
                      3,                 1.0247,                 1.5815,                 1.2045,                0.35861,                0.23959,                0.19238,                0.10567,                 1.6179,                 2.5858,                  1.664,             0.00089965,             0.00089965,             0.00089965
                      4,                  1.001,                 1.5029,                 1.1985,                0.38503,                0.31783,                0.27884,                0.16233,                 1.5238,                  2.296,                 1.5146,              0.0008515,              0.0008515,              0.0008515
                      5,                0.97636,                 1.3847,                 1.1812,                0.44296,                0.31445,                0.30312,                0.17669,                 1.4518,                 2.2025,                  1.499,               0.000802,               0.000802,               0.000802
                      6,                0.94643,                 1.3026,                 1.1643,                 0.4656,                0.35908,                0.33742,                0.20458,                 1.4346,                 2.0479,                 1.4651,              0.0007525,              0.0007525,              0.0007525
                      7,                0.92637,                 1.2376,                 1.1492,                0.46458,                0.32496,                0.32097,                  0.195,                 1.4401,                 2.1663,                 1.4708,               0.000703,               0.000703,               0.000703
                      8,                0.91635,                 1.1966,                 1.1449,                0.48647,                0.39404,                0.37936,                0.23725,                 1.3706,                 1.9396,                 1.3982,              0.0006535,              0.0006535,              0.0006535
                      9,                 0.8922,                 1.1554,                 1.1339,                0.49819,                0.39018,                0.39177,                0.24379,                 1.3451,                 1.9572,                 1.3835,               0.000604,               0.000604,               0.000604
                     10,                0.87123,                 1.0995,                  1.116,                 0.5386,                0.36673,                0.38707,                0.23863,                 1.3511,                 1.9212,                 1.4035,              0.0005545,              0.0005545,              0.0005545
                     11,                 0.8784,                 1.0571,                 1.1124,                0.49571,                0.38124,                 0.3903,                0.24668,                 1.3459,                  1.993,                 1.4199,               0.000505,               0.000505,               0.000505
                     12,                0.87289,                0.97955,                 1.1091,                0.48755,                 0.3979,                0.39952,                0.24713,                 1.3221,                 1.9364,                 1.4034,              0.0004555,              0.0004555,              0.0004555
                     13,                0.84831,                0.93998,                 1.0888,                0.54009,                0.40649,                0.42552,                 0.2729,                  1.312,                 1.8237,                 1.3724,               0.000406,               0.000406,               0.000406
                     14,                0.83867,                0.90727,                 1.0798,                0.59352,                0.39621,                0.44211,                0.28774,                 1.2759,                 1.9312,                 1.3555,              0.0003565,              0.0003565,              0.0003565
                     15,                0.81645,                0.84919,                 1.0688,                0.56256,                0.41705,                0.44056,                0.28239,                 1.2882,                 1.8625,                 1.3588,               0.000307,               0.000307,               0.000307
                     16,                0.81235,                0.82272,                 1.0646,                0.59938,                 0.4282,                  0.473,                0.30882,                 1.2614,                  1.705,                 1.3289,              0.0002575,              0.0002575,              0.0002575
                     17,                0.79415,                 0.7887,                 1.0543,                0.58261,                0.43749,                0.46422,                0.30235,                 1.2635,                 1.7698,                 1.3386,               0.000208,               0.000208,               0.000208
                     18,                0.77676,                0.76192,                 1.0479,                0.58126,                0.42255,                0.45683,                 0.2988,                 1.2583,                 1.7973,                 1.3471,              0.0001585,              0.0001585,              0.0001585
                     19,                0.76456,                 0.7412,                 1.0405,                0.56543,                0.44162,                0.47059,                0.30833,                 1.2568,                 1.7822,                 1.3316,               0.000109,               0.000109,               0.000109
                     20,                0.74479,                0.70336,                  1.031,                0.61774,                0.43837,                0.49199,                0.33007,                 1.2276,                 1.6943,                 1.3125,               5.95e-05,               5.95e-05,               5.95e-05
